state,Area name,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
IN,Blackford ,914,"4,151","2,394","1,176",10.6,48.1,27.7,13.6
IN,Boone ,"2,699","9,025","10,117","20,445",6.4,21.3,23.9,48.3
IN,Brown ,992,"3,682","3,527","3,088",8.8,32.6,31.2,27.4
IN,Carroll ,"1,511","5,684","4,353","2,401",10.8,40.7,31.2,17.2
IN,Cass ,"4,098","9,931","8,303","3,616",15.8,38.3,32,13.9
IN,Clark ,"8,607","27,298","27,219","16,676",10.8,34.2,34.1,20.9
IN,Clay ,"1,520","8,082","5,530","3,061",8.4,44.4,30.4,16.8
IN,Clinton ,"2,920","9,343","5,415","3,530",13.8,44.1,25.5,16.6
IN,Crawford ,"1,331","3,447","1,832",854,17.8,46.2,24.5,11.4
IN,Daviess ,"5,465","6,886","5,237","2,808",26.8,33.8,25.7,13.8
IN,Dearborn ,"3,206","13,735","9,856","7,378",9.4,40.2,28.8,21.6
IN,Decatur ,"1,612","7,798","4,897","3,493",9.1,43.8,27.5,19.6
IN,DeKalb ,"2,800","12,002","8,821","5,082",9.8,41.8,30.7,17.7
IN,Delaware ,"7,620","24,588","21,655","17,253",10.7,34.6,30.5,24.3
IN,Dubois ,"2,841","11,137","8,134","6,325",10,39.2,28.6,22.2
IN,Elkhart ,"24,218","45,368","34,459","24,770",18.8,35.2,26.8,19.2
IN,Fayette ,"2,837","6,985","4,546","1,894",17.4,43,28,11.6
IN,Floyd ,"5,104","15,760","16,123","15,510",9.7,30,30.7,29.5
IN,Fountain ,"1,301","5,097","3,404","1,728",11.3,44.2,29.5,15
IN,Franklin ,"1,845","6,674","3,986","3,083",11.8,42.8,25.6,19.8
IN,Fulton ,"1,748","5,606","4,542","2,003",12.6,40.3,32.7,14.4
IN,Gibson ,"2,072","9,075","7,726","3,989",9.1,39.7,33.8,17.4
IN,Grant ,"5,767","18,007","13,006","7,584",13,40.6,29.3,17.1
IN,Greene ,"2,803","9,505","7,123","3,369",12.3,41.7,31.2,14.8
IN,Hamilton ,"7,379","31,326","47,674","118,226",3.6,15.3,23.3,57.8
IN,Hancock ,"3,130","16,545","15,451","15,304",6.2,32.8,30.6,30.3
IN,Harrison ,"3,049","11,148","8,781","4,836",11,40.1,31.6,17.4
IN,Hendricks ,"7,105","29,085","31,869","38,805",6.6,27.2,29.8,36.3
IN,Henry ,"3,582","15,107","10,012","5,726",10.4,43.9,29.1,16.6
IN,Howard ,"6,351","20,794","17,783","12,110",11.1,36.5,31.2,21.2
IN,Huntington ,"2,253","10,448","7,474","4,727",9,42,30,19
IN,Jackson ,"4,002","12,955","8,199","4,626",13.4,43.5,27.5,15.5
IN,Jasper ,"2,634","9,461","6,945","3,323",11.8,42.3,31.1,14.9
IN,Jay ,"2,101","6,504","3,717","1,460",15.2,47.2,27,10.6
IN,Jefferson ,"2,189","9,370","6,615","3,972",9.9,42.3,29.9,17.9
IN,Jennings ,"2,737","8,628","5,350","2,082",14.6,45.9,28.5,11.1
IN,Johnson ,"8,059","31,283","29,384","32,041",8,31,29.2,31.8
IN,Knox ,"2,885","8,808","8,851","4,027",11.7,35.8,36,16.4
IN,Kosciusko ,"7,595","18,426","14,431","11,879",14.5,35.2,27.6,22.7
IN,LaGrange ,"8,150","7,291","4,702","2,333",36.3,32.4,20.9,10.4
IN,Lake ,"39,031","114,444","101,349","72,259",11.9,35,31,22.1
IN,LaPorte ,"9,041","30,361","24,036","13,808",11.7,39.3,31.1,17.9
IN,Lawrence ,"3,688","13,939","9,519","4,996",11.5,43.4,29.6,15.5
IN,Madison ,"10,755","35,132","27,988","16,174",11.9,39,31.1,18
IN,Marion ,"88,886","173,635","169,794","188,718",14.3,28,27.3,30.4
IN,Marshall ,"4,678","12,010","7,781","6,293",15.2,39,25.3,20.5
IN,Martin ,"1,025","3,060","2,051",953,14.5,43.2,28.9,13.4
IN,Miami ,"3,618","10,615","7,566","3,173",14.5,42.5,30.3,12.7
IN,Monroe ,"6,525","18,205","20,567","37,962",7.8,21.9,24.7,45.6
IN,Montgomery ,"2,718","10,707","7,793","4,687",10.5,41.3,30.1,18.1
IN,Morgan ,"5,912","19,156","14,730","8,089",12.3,40,30.8,16.9
IN,Newton ,"1,442","4,391","2,987","1,115",14.5,44.2,30.1,11.2
IN,Noble ,"4,985","12,780","9,185","4,481",15.9,40.7,29.2,14.3
IN,Ohio ,541,"2,005","1,244",603,12.3,45.6,28.3,13.7
IN,Orange ,"2,259","6,095","3,501","1,660",16.7,45.1,25.9,12.3
IN,Owen ,"2,215","6,364","4,469","1,883",14.8,42.6,29.9,12.6
IN,Parke ,"1,580","5,215","3,754","1,468",13.1,43.4,31.2,12.2
IN,Perry ,"1,434","6,388","3,732","2,028",10.6,47,27.5,14.9
IN,Pike ,"1,119","3,733","2,699","1,202",12.8,42.6,30.8,13.7
IN,Porter ,"7,858","39,600","34,835","32,394",6.9,34.5,30.4,28.2
IN,Posey ,"1,204","6,898","6,117","3,722",6.7,38.4,34.1,20.7
IN,Pulaski ,"1,040","4,146","2,531","1,104",11.8,47,28.7,12.5
IN,Putnam ,"2,678","10,860","7,263","3,984",10.8,43.8,29.3,16.1
IN,Randolph ,"2,286","7,383","5,203","2,487",13.2,42.5,30,14.3
IN,Ripley ,"2,047","8,359","5,341","3,480",10.6,43.5,27.8,18.1
IN,Rush ,"1,770","5,300","2,955","1,500",15.4,46,25.6,13
IN,St. Joseph ,"20,253","53,751","50,092","51,236",11.6,30.7,28.6,29.2
IN,Scott ,"2,627","7,226","4,547","1,954",16.1,44.2,27.8,11.9
IN,Shelby ,"3,679","13,118","7,971","5,977",12,42.7,25.9,19.4
IN,Spencer ,"1,423","6,465","4,364","2,143",9.9,44.9,30.3,14.9
IN,Starke ,"2,515","6,636","4,924","1,700",15.9,42.1,31.2,10.8
IN,Steuben ,"2,340","9,048","7,384","4,879",9.9,38.3,31.2,20.6
IN,Sullivan ,"1,675","6,652","4,942","1,607",11.3,44.7,33.2,10.8
IN,Switzerland ,"1,213","3,495","1,769",711,16.9,48.6,24.6,9.9
IN,Tippecanoe ,"8,638","26,092","30,267","39,360",8.3,25,29,37.7
IN,Tipton ,"1,267","4,480","2,651","2,507",11.6,41.1,24.3,23
IN,Union ,573,"2,413","1,188",849,11.4,48,23.7,16.9
IN,Vanderburgh ,"12,694","40,163","38,332","32,555",10.3,32.5,31,26.3
IN,Vermillion ,"1,065","4,850","3,596","1,469",9.7,44.2,32.8,13.4
IN,Vigo ,"8,236","22,265","21,677","16,918",11.9,32.2,31.4,24.5
IN,Wabash ,"2,539","9,222","5,954","3,997",11.7,42.5,27.4,18.4
IN,Warren ,497,"2,541","1,732","1,109",8.5,43.2,29.5,18.9
IN,Warrick ,"2,967","13,321","13,586","12,541",7,31.4,32,29.6
IN,Washington ,"2,967","8,387","5,327","2,535",15.4,43.6,27.7,13.2
IN,Wayne ,"6,050","17,383","13,946","8,312",13.2,38,30.5,18.2
IN,Wells ,"1,675","7,525","6,220","3,406",8.9,40,33,18.1
IN,White ,"1,897","6,908","5,084","2,805",11.4,41.4,30.5,16.8
IN,Whitley ,"1,699","9,240","7,469","4,854",7.3,39.7,32.1,20.9
IA,Adair ,295,"2,204","1,825",790,5.8,43.1,35.7,15.4
IA,Adams ,160,"1,056","1,006",478,5.9,39.1,37.3,17.7
IA,Allamakee ,"1,196","3,770","2,930","1,792",12.3,38.9,30.2,18.5
IA,Appanoose ,815,"3,303","3,276","1,523",9.1,37,36.7,17.1
IA,Audubon ,421,"1,657","1,457",602,10.2,40.1,35.2,14.6
IA,Benton ,"1,085","6,420","6,167","3,999",6.1,36.3,34.9,22.6
IA,Black Hawk ,"7,270","25,266","27,185","23,964",8.7,30.2,32.5,28.6
IA,Boone ,"1,054","5,965","6,871","4,578",5.7,32.3,37.2,24.8
IA,Bremer ,623,"5,277","5,474","4,952",3.8,32.3,33.5,30.3
IA,Buchanan ,821,"5,433","4,835","2,875",5.9,38.9,34.6,20.6
IA,Buena Vista ,"2,840","3,762","3,658","2,506",22.2,29.5,28.7,19.6
IA,Butler ,760,"3,928","3,893","1,823",7.3,37.8,37.4,17.5
IA,Calhoun ,418,"2,557","2,677","1,371",6,36.4,38.1,19.5
IA,Carroll ,892,"5,013","4,823","3,070",6.5,36.3,35,22.2
IA,Cass ,"1,109","3,568","2,891","1,849",11.8,37.9,30.7,19.6
IA,Cedar ,665,"4,667","4,670","2,981",5.1,35.9,36,23
IA,Cerro Gordo ,"2,118","9,449","12,138","6,942",6.9,30.8,39.6,22.7
IA,Cherokee ,615,"2,968","2,907","1,766",7.4,35.9,35.2,21.4
IA,Chickasaw ,645,"3,627","2,650","1,412",7.7,43.5,31.8,16.9
IA,Clarke ,684,"2,601","1,939","1,063",10.9,41.4,30.8,16.9
IA,Clay ,745,"3,906","4,210","2,584",6.5,34.1,36.8,22.6
IA,Clayton ,"1,113","5,502","3,848","2,166",8.8,43.6,30.5,17.2
IA,Clinton ,"2,924","12,170","11,389","6,235",8.9,37.2,34.8,19.1
IA,Crawford ,"2,481","4,021","3,234","1,428",22.2,36,29,12.8
IA,Dallas ,"2,562","9,851","15,319","27,049",4.7,18,28,49.4
IA,Davis ,937,"1,888","1,614","1,145",16.8,33.8,28.9,20.5
IA,Decatur ,550,"1,828","1,342","1,143",11.3,37.6,27.6,23.5
IA,Delaware ,"1,030","5,102","3,742","1,964",8.7,43.1,31.6,16.6
IA,Des Moines ,"2,321","9,033","10,517","5,636",8.4,32.8,38.2,20.5
IA,Dickinson ,535,"3,558","4,609","3,972",4.2,28.1,36.4,31.3
IA,Dubuque ,"4,911","21,282","18,703","19,669",7.6,33,29,30.5
IA,Emmet ,615,"2,155","2,390","1,305",9.5,33.3,37,20.2
IA,Fayette ,"1,096","5,375","4,619","2,740",7.9,38.9,33.4,19.8
IA,Floyd ,"1,167","3,700","3,842","2,170",10.7,34,35.3,19.9
IA,Franklin ,672,"2,566","2,629","1,264",9.4,36,36.9,17.7
IA,Fremont ,375,"1,790","1,862",960,7.5,35.9,37.3,19.3
IA,Greene ,399,"2,486","2,136","1,265",6.3,39.5,34,20.1
IA,Grundy ,500,"2,660","3,047","2,417",5.8,30.8,35.3,28
IA,Guthrie ,539,"2,904","2,594","1,486",7.2,38.6,34.5,19.8
IA,Hamilton ,691,"3,319","3,985","2,560",6.5,31.4,37.8,24.3
IA,Hancock ,511,"2,827","2,612","1,787",6.6,36.5,33.8,23.1
IA,Hardin ,"1,013","4,169","4,550","2,397",8.4,34.4,37.5,19.8
IA,Harrison ,813,"3,758","3,464","1,862",8.2,38,35,18.8
IA,Henry ,967,"5,149","4,815","2,744",7.1,37.7,35.2,20.1
IA,Howard ,613,"2,575","2,186",942,9.7,40.8,34.6,14.9
IA,Humboldt ,520,"2,401","2,368","1,393",7.8,35.9,35.4,20.8
IA,Ida ,315,"1,845","1,743",917,6.5,38.3,36.2,19
IA,Iowa ,696,"4,222","4,145","2,142",6.2,37.7,37,19.1
IA,Jackson ,"1,046","5,705","4,313","2,568",7.7,41.9,31.6,18.8
IA,Jasper ,"1,623","11,010","8,682","4,634",6.3,42.4,33.5,17.9
IA,Jefferson ,935,"3,540","4,263","4,030",7.3,27.7,33.4,31.6
IA,Johnson ,"4,100","13,985","22,501","45,730",4.7,16.2,26.1,53
IA,Jones ,"1,212","5,809","4,905","2,697",8.3,39.7,33.5,18.4
IA,Keokuk ,534,"2,948","2,376","1,304",7.5,41.2,33.2,18.2
IA,Kossuth ,597,"3,993","4,084","1,944",5.6,37.6,38.5,18.3
IA,Lee ,"1,913","10,007","8,682","3,829",7.8,41,35.5,15.7
IA,Linn ,"7,943","40,304","51,481","49,199",5.3,27.1,34.6,33
IA,Louisa ,"1,393","2,812","2,402","1,096",18.1,36.5,31.2,14.2
IA,Lucas ,429,"2,465","2,026","1,010",7.2,41.6,34.2,17
IA,Lyon ,719,"2,776","2,490","1,626",9.4,36.5,32.7,21.4
IA,Madison ,554,"3,868","3,776","2,569",5.1,35.9,35.1,23.9
IA,Mahaska ,"1,317","5,799","4,478","3,334",8.8,38.8,30,22.3
IA,Marion ,"1,431","7,665","6,814","5,702",6.6,35.5,31.5,26.4
IA,Marshall ,"4,362","9,093","8,156","5,065",16.4,34.1,30.6,19
IA,Mills ,676,"3,562","3,620","2,442",6.6,34.6,35.1,23.7
IA,Mitchell ,737,"2,908","2,363","1,288",10.1,39.9,32.4,17.7
IA,Monona ,488,"2,541","2,302","1,067",7.6,39.7,36,16.7
IA,Monroe ,639,"2,173","1,644",885,12,40.7,30.8,16.6
IA,Montgomery ,700,"2,621","2,505","1,232",9.9,37.1,35.5,17.5
IA,Muscatine ,"3,544","9,908","8,817","6,283",12.4,34.7,30.9,22
IA,O'Brien ,738,"3,650","3,314","1,910",7.7,38,34.5,19.9
IA,Osceola ,468,"1,648","1,387",772,10.9,38.5,32.4,18.1
IA,Page ,"1,014","3,854","3,888","2,374",9.1,34.6,34.9,21.3
IA,Palo Alto ,410,"1,816","2,473","1,569",6.5,29,39.5,25
IA,Plymouth ,"1,180","5,664","6,391","3,528",7,33.8,38.1,21
IA,Pocahontas ,426,"1,916","1,893",729,8.6,38.6,38.1,14.7
IA,Polk ,"26,653","77,890","95,824","113,109",8.5,24.8,30.6,36.1
IA,Pottawattamie ,"6,653","20,861","22,180","13,396",10.5,33.1,35.2,21.2
IA,Poweshiek ,846,"4,531","3,676","3,028",7,37.5,30.4,25.1
IA,Ringgold ,268,"1,351","1,140",715,7.7,38.9,32.8,20.6
IA,Sac ,521,"2,606","2,433","1,441",7.4,37.2,34.8,20.6
IA,Scott ,"8,215","34,749","36,288","37,088",7.1,29.9,31.2,31.9
IA,Shelby ,665,"2,976","2,895","1,719",8.1,36.1,35.1,20.8
IA,Sioux ,"1,885","6,450","6,449","5,785",9.2,31.4,31.4,28.1
IA,Story ,"1,474","9,002","14,101","25,714",2.9,17.9,28,51.1
IA,Tama ,"1,053","4,654","4,045","1,875",9.1,40,34.8,16.1
IA,Taylor ,422,"1,691","1,559",642,9.8,39.2,36.1,14.9
IA,Union ,829,"3,078","3,122","1,461",9.8,36.3,36.8,17.2
IA,Van Buren ,505,"2,048","1,758",710,10.1,40.8,35,14.1
IA,Wapello ,"2,904","8,591","8,258","4,322",12.1,35.7,34.3,18
IA,Warren ,"1,397","9,806","10,861","10,241",4.3,30.4,33.6,31.7
IA,Washington ,"1,336","5,888","4,537","3,214",8.9,39.3,30.3,21.5
IA,Wayne ,484,"1,951","1,361",566,11.1,44.7,31.2,13
IA,Webster ,"2,274","8,433","9,181","4,857",9.2,34.1,37.1,19.6
IA,Winnebago ,591,"2,398","2,604","1,612",8.2,33.3,36.1,22.4
IA,Winneshiek ,716,"4,397","4,332","3,989",5.3,32.7,32.2,29.7
IA,Woodbury ,"8,688","21,064","20,583","15,047",13.3,32.2,31.5,23
IA,Worth ,380,"1,962","2,107",819,7.2,37.2,40,15.5
IA,Wright ,725,"3,187","3,404","1,573",8.2,35.9,38.3,17.7
KS,Allen ,697,"2,918","3,222","1,757",8.1,34,37.5,20.4
KS,Anderson ,454,"2,161","1,682",913,8.7,41.5,32.3,17.5
KS,Atchison ,761,"3,785","3,311","2,208",7.6,37.6,32.9,21.9
KS,Barber ,280,"1,151","1,265",605,8.5,34.9,38.3,18.3
KS,Barton ,"2,052","5,856","6,822","3,319",11.4,32.4,37.8,18.4
KS,Bourbon ,846,"2,948","3,802","1,972",8.8,30.8,39.7,20.6
KS,Brown ,484,"2,355","2,278","1,425",7.4,36,34.8,21.8
KS,Butler ,"3,250","11,557","16,109","12,644",7.5,26.5,37,29
KS,Chase ,185,503,741,394,10.1,27.6,40.6,21.6
KS,Chautauqua ,310,870,855,411,12.7,35.6,35,16.8
KS,Cherokee ,"1,535","4,674","5,071","2,661",11,33.5,36.4,19.1
KS,Cheyenne ,124,577,708,503,6.5,30.2,37,26.3
KS,Clark ,91,389,487,445,6.4,27.5,34.5,31.5
KS,Clay ,397,"1,688","2,044","1,542",7,29.8,36,27.2
KS,Cloud ,520,"1,855","2,335","1,367",8.6,30.5,38.4,22.5
KS,Coffey ,394,"1,948","2,160","1,337",6.7,33.4,37,22.9
KS,Comanche ,92,418,528,237,7.2,32.8,41.4,18.6
KS,Cowley ,"2,370","7,201","9,136","4,718",10.1,30.7,39,20.1
KS,Crawford ,"2,122","6,598","7,759","6,880",9.1,28.2,33.2,29.5
KS,Decatur ,188,702,763,507,8.7,32.5,35.3,23.5
KS,Dickinson ,"1,226","4,397","4,590","2,893",9.4,33.5,35,22.1
KS,Doniphan ,505,"1,824","1,756",980,10,36,34.7,19.3
KS,Douglas ,"3,066","12,342","18,581","34,502",4.5,18,27.1,50.4
KS,Edwards ,329,571,820,375,15.7,27.3,39.1,17.9
KS,Elk ,250,764,595,284,13.2,40.4,31.4,15
KS,Ellis ,"1,273","4,617","5,480","6,079",7.3,26.5,31.4,34.8
KS,Ellsworth ,400,"1,544","1,675",925,8.8,34,36.9,20.4
KS,Finney ,"6,275","4,676","6,959","3,686",29.1,21.7,32.2,17.1
KS,Ford ,"5,830","5,085","5,918","3,605",28.5,24.9,29,17.6
KS,Franklin ,"1,261","6,615","5,812","3,315",7.4,38.9,34.2,19.5
KS,Geary ,"1,109","4,853","8,590","4,072",6,26.1,46.1,21.9
KS,Gove ,167,650,670,436,8.7,33.8,34.8,22.7
KS,Graham ,168,665,569,499,8.8,35,29.9,26.2
KS,Grant ,"1,201","1,264","1,368",697,26.5,27.9,30.2,15.4
KS,Gray ,867,843,"1,280",795,22.9,22.3,33.8,21
KS,Greeley ,100,227,228,227,12.8,29,29.2,29
KS,Greenwood ,375,"1,544","1,670",877,8.4,34.6,37.4,19.6
KS,Hamilton ,354,555,385,288,22.4,35.1,24.3,18.2
KS,Harper ,377,"1,576","1,311",674,9.6,40,33.3,17.1
KS,Harvey ,"2,048","5,958","7,602","7,027",9,26.3,33.6,31
KS,Haskell ,769,466,851,405,30.9,18.7,34.2,16.3
KS,Hodgeman ,123,271,542,371,9.4,20.7,41.5,28.4
KS,Jackson ,496,"3,522","3,064","1,921",5.5,39.1,34,21.3
KS,Jefferson ,858,"5,350","4,121","2,899",6.5,40.4,31.2,21.9
KS,Jewell ,132,932,763,372,6,42.4,34.7,16.9
KS,Johnson ,"16,315","56,713","102,989","217,617",4.1,14.4,26.2,55.3
KS,Kearny ,617,634,752,378,25.9,26.6,31.6,15.9
KS,Kingman ,315,"1,675","2,005","1,273",6,31.8,38.1,24.2
KS,Kiowa ,168,454,550,453,10.3,27.9,33.8,27.9
KS,Labette ,"1,663","4,517","5,210","2,462",12,32.6,37.6,17.8
KS,Lane ,50,367,461,242,4.5,32.8,41.2,21.6
KS,Leavenworth ,"4,384","15,510","17,068","17,127",8.1,28.7,31.6,31.7
KS,Lincoln ,137,686,849,488,6.3,31.8,39.3,22.6
KS,Linn ,744,"2,615","2,342","1,086",11,38.5,34.5,16
KS,Logan ,159,565,859,338,8.3,29.4,44.7,17.6
KS,Lyon ,"2,326","6,163","6,020","5,460",11.6,30.9,30.1,27.3
KS,McPherson ,"1,681","5,272","6,767","5,600",8.7,27.3,35,29
KS,Marion ,754,"2,549","2,884","2,068",9.1,30.9,34.9,25.1
KS,Marshall ,505,"2,981","2,125","1,282",7.3,43.2,30.8,18.6
KS,Meade ,481,796,914,552,17.5,29,33.3,20.1
KS,Miami ,955,"7,220","8,043","6,200",4.3,32.2,35.9,27.7
KS,Mitchell ,179,"1,366","1,581","1,056",4.3,32.7,37.8,25.3
KS,Montgomery ,"2,502","6,455","9,201","4,051",11.3,29.1,41.4,18.2
KS,Morris ,402,"1,493","1,324",812,10,37,32.8,20.1
KS,Morton ,265,580,715,322,14.1,30.8,38,17.1
KS,Nemaha ,436,"2,575","1,998","1,624",6.6,38.8,30.1,24.5
KS,Neosho ,910,"3,374","4,242","2,217",8.5,31.4,39.5,20.6
KS,Ness ,197,731,831,409,9.1,33.7,38.3,18.9
KS,Norton ,424,"1,467","1,479",636,10.6,36.6,36.9,15.9
KS,Osage ,968,"4,299","3,663","2,039",8.8,39.2,33.4,18.6
KS,Osborne ,193,899,909,598,7.4,34.6,35,23
KS,Ottawa ,240,"1,500","1,402",963,5.8,36.5,34.2,23.5
KS,Pawnee ,618,"1,492","1,978",949,12.3,29.6,39.3,18.8
KS,Phillips ,278,"1,357","1,282",836,7.4,36.2,34.2,22.3
KS,Pottawatomie ,787,"4,357","4,644","5,149",5.3,29.2,31.1,34.5
KS,Pratt ,485,"1,541","2,436","1,748",7.8,24.8,39.2,28.1
KS,Rawlins ,96,565,730,465,5.2,30.4,39.3,25.1
KS,Reno ,"5,247","12,061","17,042","8,881",12.1,27.9,39.4,20.5
KS,Republic ,169,"1,131","1,333",855,4.8,32.4,38.2,24.5
KS,Rice ,574,"1,805","2,453","1,463",9.1,28.7,39,23.2
KS,Riley ,"1,601","7,013","11,825","17,403",4.2,18.5,31.2,46
KS,Rooks ,358,"1,123","1,249",862,10,31.3,34.8,24
KS,Rush ,252,609,883,525,11.1,26.8,38.9,23.1
KS,Russell ,538,"1,420","1,893","1,349",10.3,27.3,36.4,25.9
KS,Saline ,"3,419","11,501","12,420","9,701",9.2,31,33.5,26.2
KS,Scott ,506,922,971,794,15.8,28.9,30.4,24.9
KS,Sedgwick ,"35,357","86,432","106,544","102,042",10.7,26.2,32.2,30.9
KS,Seward ,"4,164","4,008","3,459","1,459",31.8,30.6,26.4,11.1
KS,Shawnee ,"9,572","37,674","36,044","37,093",8,31.3,29.9,30.8
KS,Sheridan ,99,607,730,390,5.4,33.2,40,21.4
KS,Sherman ,295,"1,280","1,674",768,7.3,31.9,41.7,19.1
KS,Smith ,185,"1,010","1,038",527,6.7,36.6,37.6,19.1
KS,Stafford ,279,884,"1,059",697,9.6,30.3,36.3,23.9
KS,Stanton ,247,410,440,262,18.2,30.2,32.4,19.3
KS,Stevens ,719,"1,028","1,409",440,20,28.6,39.2,12.2
KS,Sumner ,"1,213","5,346","5,628","3,477",7.7,34.1,35.9,22.2
KS,Thomas ,243,"1,276","2,209","1,275",4.9,25.5,44.2,25.5
KS,Trego ,140,642,839,478,6.7,30.6,40,22.8
KS,Wabaunsee ,228,"1,636","1,766","1,105",4.8,34.6,37.3,23.3
KS,Wallace ,73,298,388,339,6.6,27.1,35.3,30.9
KS,Washington ,362,"1,461","1,273",788,9.3,37.6,32.8,20.3
KS,Wichita ,209,435,532,314,14,29.2,35.7,21.1
KS,Wilson ,770,"2,140","2,297",878,12.7,35.2,37.7,14.4
KS,Woodson ,275,851,894,314,11.8,36.5,38.3,13.5
KS,Wyandotte ,"21,680","33,783","30,238","18,048",20.9,32.6,29.1,17.4
KY,Adair ,"2,813","5,066","3,072","2,125",21.5,38.7,23.5,16.3
KY,Allen ,"2,704","5,610","3,814","2,067",19,39.5,26.9,14.6
KY,Anderson ,"1,714","5,599","4,826","3,093",11.3,36.8,31.7,20.3
KY,Ballard ,837,"2,135","1,940",756,14.8,37.7,34.2,13.3
KY,Barren ,"5,084","12,349","7,487","4,757",17.1,41.6,25.2,16
KY,Bath ,"1,878","3,454","1,864","1,015",22.9,42.1,22.7,12.4
KY,Bell ,"5,832","7,392","4,204","1,713",30.5,38.6,22,8.9
KY,Boone ,"6,092","23,606","28,180","26,756",7.2,27.9,33.3,31.6
KY,Bourbon ,"2,098","5,232","4,055","2,647",15,37.3,28.9,18.9
KY,Boyd ,"3,933","11,146","12,289","6,928",11.5,32.5,35.8,20.2
KY,Boyle ,"2,561","6,910","5,791","4,671",12.8,34.7,29.1,23.4
KY,Bracken ,854,"2,485","1,533",775,15.1,44,27.1,13.7
KY,Breathitt ,"2,409","3,364","2,148","1,323",26.1,36.4,23.2,14.3
KY,Breckinridge ,"2,486","6,237","3,717","1,546",17.8,44.6,26.6,11.1
KY,Bullitt ,"6,587","22,840","17,696","7,812",12,41.6,32.2,14.2
KY,Butler ,"1,970","3,844","2,049","1,132",21.9,42.7,22.8,12.6
KY,Caldwell ,"1,090","4,138","2,390","1,376",12.1,46,26.6,15.3
KY,Calloway ,"2,628","7,784","6,638","6,974",10.9,32.4,27.6,29
KY,Campbell ,"5,834","18,926","17,250","21,203",9.2,29.9,27.3,33.5
KY,Carlisle ,630,"1,238","1,023",504,18.6,36.5,30.1,14.8
KY,Carroll ,"1,597","3,017","1,932",634,22.2,42,26.9,8.8
KY,Carter ,"4,071","7,452","4,541","2,540",21.9,40.1,24.4,13.7
KY,Casey ,"2,745","4,217","2,559","1,466",25,38.4,23.3,13.3
KY,Christian ,"5,758","13,172","14,966","7,111",14,32.1,36.5,17.3
KY,Clark ,"3,658","8,732","7,689","5,037",14.6,34.8,30.6,20.1
KY,Clay ,"5,238","5,009","3,015","1,398",35.7,34.2,20.6,9.5
KY,Clinton ,"1,907","2,745","1,708",718,26.9,38.8,24.1,10.1
KY,Crittenden ,"1,097","2,723","1,784",847,17,42.2,27.7,13.1
KY,Cumberland ,893,"1,966","1,248",618,18.9,41.6,26.4,13.1
KY,Daviess ,"6,739","23,341","21,797","15,403",10,34.7,32.4,22.9
KY,Edmonson ,"1,830","3,658","2,289",938,21,42,26.3,10.8
KY,Elliott ,"1,216","2,420","1,440",462,22,43.7,26,8.3
KY,Estill ,"2,586","4,649","1,977","1,015",25.3,45.5,19.3,9.9
KY,Fayette ,"18,841","41,328","57,520","88,572",9.1,20,27.9,42.9
KY,Fleming ,"2,112","3,758","2,708","1,243",21.5,38.3,27.6,12.7
KY,Floyd ,"6,806","9,305","6,939","2,908",26.2,35.8,26.7,11.2
KY,Franklin ,"3,866","10,781","10,118","10,514",11,30.6,28.7,29.8
KY,Fulton ,950,"1,696","1,140",579,21.8,38.9,26.1,13.3
KY,Gallatin ,"1,100","2,693","1,337",676,18.9,46.4,23,11.6
KY,Garrard ,"2,471","4,508","3,253","2,065",20.1,36.7,26.5,16.8
KY,Grant ,"2,158","7,759","3,854","2,172",13.5,48.7,24.2,13.6
KY,Graves ,"3,716","9,954","7,511","4,114",14.7,39.4,29.7,16.3
KY,Grayson ,"3,547","7,418","4,987","1,858",19.9,41.7,28,10.4
KY,Green ,"1,922","3,200","1,879",951,24.2,40.2,23.6,12
KY,Greenup ,"2,957","9,361","8,724","4,373",11.6,36.8,34.3,17.2
KY,Hancock ,875,"2,480","1,809",636,15.1,42.8,31.2,11
KY,Hardin ,"6,726","21,481","26,300","16,317",9.5,30.3,37.1,23
KY,Harlan ,"5,363","6,559","4,927","2,036",28.4,34.7,26.1,10.8
KY,Harrison ,"2,141","5,199","3,647","1,913",16.6,40.3,28.3,14.8
KY,Hart ,"3,057","5,074","2,942","1,477",24.4,40.4,23.4,11.8
KY,Henderson ,"4,222","11,379","10,640","5,706",13.2,35.6,33.3,17.9
KY,Henry ,"1,707","4,544","3,237","1,316",15.8,42.1,30,12.2
KY,Hickman ,713,"1,295",702,577,21.7,39.4,21.4,17.6
KY,Hopkins ,"4,278","13,186","9,210","5,069",13.5,41.5,29,16
KY,Jackson ,"2,390","3,968","1,823","1,136",25.7,42.6,19.6,12.2
KY,Jefferson ,"52,841","141,834","160,800","172,885",10,26.8,30.4,32.7
KY,Jessamine ,"4,540","10,374","9,202","10,077",13.3,30.3,26.9,29.5
KY,Johnson ,"3,139","5,586","4,936","2,399",19.5,34.8,30.7,14.9
KY,Kenton ,"11,506","32,033","34,180","34,021",10.3,28.7,30.6,30.4
KY,Knott ,"2,869","3,458","2,974","1,382",26.9,32.4,27.8,12.9
KY,Knox ,"5,836","7,994","4,501","2,772",27.7,37.9,21.3,13.1
